trigger,response,source_state,dest_state
start reading,<gcv_start_continuous_ocr>,,
stop reading,<gcv_stop_continuous_ocr>,,
start looking,<abby_start_continuous_ocr>,,
stop looking,<abby_stop_continuous_ocr>,,
shut down ?,<shutdown_device>,,
power off ?,<shutdown_device>,,
give|tell me a quote,Take care of your body. It's the only place you have to live.,,
give|tell me a quote,Failure is success if we learn from it.,,
give|tell me a quote,Never let schooling interfere with your education.,,
give|tell me a quote,Take care of your body. It's the only place you have to live.,,
give|tell me a quote,"quote,, This too shall pass,, end quote,, This is an ancient poet adage reflecting on the ephemeral nature of the human condition.",,
remind me {{note}},OK. I'll remind you {{note}},,
tell me a life|bvi|low-vision|blind|health hack|tip|idea|motivation,Some analog clocks and watches have tactile faces that can be read by touch.,,
tell me a life|bvi|low-vision|blind|health hack|tip|idea|motivation,"Bump dots are tactile stickers that can be placed on touchscreen interfaces like a refrigerator or microwave, as long as the screen doesn't dynamically change the location of buttons.",,
tell me a life|bvi|low-vision|blind|health hack|tip|idea|motivation,"Your pharmacist can place braille labels on any medication, or if you prefer you can give the pharmacist bump dots to put on your medicine bottles according to your own labeling system.",,
tell me a life|bvi|low-vision|blind|health hack|tip|idea|motivation,Never take a medicine that you aren't 100% sure of it's origin and usage or dosage. When in doubt call an Aira agent. Many medicine bottle labels can only be read accurately by a human.,,
tell me a life|bvi|low-vision|blind|health hack|tip|idea|motivation,"Your pharmacist can place braille labels on any medication, or if you prefer you can give the pharmacist bump dots to put on your medicine bottles according to your own labeling system.",,
tell me a life|bvi|low-vision|blind|health hack|tip|idea|motivation,"If you have strong mobility skills, taking the stairs rather than the elevator at every opportunity can improve your long term health. If you prefer exercise machines you can play an interesting podcast or have Chloe read you a book while you work out.",,
what|how is my|this|a|the ? wifi|data|network|connectivity|internet,{{active_network_status}},,
what|how is my|this|a|the ? wife i,{{active_network_status}},,
what|how is my|this|a|the ? wi fi,{{active_network_status}},,
what's my|this|a|the ? wifi|data|network|connectivity|internet,{{active_network_status}},,
what's my|this|a|the ? wife i,{{active_network_status}},,
what's my|this|a|the ? wi fi,{{active_network_status}},,
how's my|this|a|the ? wifi|data|network|connectivity|internet,{{active_network_status}},,
how's my|this|a|the ? wife i,{{active_network_status}},,
how's my|this|a|the ? wi fi,{{active_network_status}},,
what wifi|data|network|connectivity|internet ? am|is ? connected ?,{{active_network_status}},,
what wifi|data|network|connectivity|internet ? am|is ? using,{{active_network_status}},,
what wifi|data|network|connectivity|internet do ? have,{{active_network_status}},,
what wife i ? am|is ? connected ?,{{active_network_status}},,
what wife i ? am|is ? using,{{active_network_status}},,
what wife i do ? have,{{active_network_status}},,
am I connected to ? wifi|data|network|connectivity|internet,{{active_network_status}},,
am I connected to ? cellular network,{{active_network_status}},,
am I connected to ? wife i,{{active_network_status}},,
what cellular network ? am|is ? connected ?,{{active_network_status}},,
what cellular network ? am|is ? using,{{active_network_status}},,
what cellular network do ? have,{{active_network_status}},,
test signal strength,{{active_network_status}},,
Tell me a riddle,What's black and white and red all over?,,riddle 1 1
* newspaper *,Perfect! Great job!,riddle 1 1,
* newspaper *,Excellent! You must've heard that one before.,riddle 1 1,
* answer *,"It's a newspaper! See? The word red is spelled R, E, A, D!",riddle 1 1,
* hint *,This thing is sometimes delivered to people by a boy on a bicycle.,riddle 1 1,riddle 1 1
* tell me *,"It's a newspaper! See? The word red is spelled R, E, A, D!",riddle 1 1,
* don't know *,"It's a newspaper! See? The word red is spelled R, E, A, D!",riddle 1 1,
*,Nope. Think about the sound of the words rather than their spelling. That may help.,riddle 1 1,riddle 1 1
*,Nope. If you want to give up just say 'I don't know' or 'tell me the answer'.,riddle * 1,riddle * 1
* newspaper *,Perfect! Great job!,,riddle 1 2
* another,Ok. Sure. Here you go. What... is the air-speed velocity of an unladen swallow?,riddle 1 1,riddle 2 1
* another,"Ok. What starts with an E, ends with an E, and has one letter in it?",riddle 1 1,riddle 3 1
* another riddle|one,Ok. Sure. Here you go. What... is the air-speed velocity of an unladen swallow?,riddle 1 1,riddle 2 1
* another riddle|one,"Ok. What starts with an E, ends with an E, and has one letter in it?",riddle 1 1,riddle 3 1
Tell me a riddle,Sure. Here you go. What... is the air-speed velocity of an unladen swallow?,,riddle 2 1
* African *,"Nice! Have you seen the Monty Python and the Holy Grail? Sir Robin said 'What do you mean? An African or European swallow?' and that stumped the bridekeeper. I haven't seen it, but I love Wikipedia.",riddle 2 1,
* European *,"Nice! Have you seen the Monty Python and the Holy Grail? Sir Robin said 'What do you mean? An African or European swallow?' and that stumped the bridekeeper. I haven't seen it, but I love Wikipedia.",riddle 2 1,
* don't know *,I'm referencing Monty Python and the Holy Grail. Sir Robin said 'What do you mean? An African or European swallow?' and that stumped the bridekeeper. ,riddle 2 1,
* tell me *,I'm referencing Monty Python and the Holy Grail. Sir Robin said 'What do you mean? An African or European swallow?' and that stumped the bridekeeper. ,riddle 2 1,
* hint *,Have you seen any movies by Monty Python?,riddle 2 1,riddle 2 1
* another,"Ok. What starts with an E, ends with an E, and has one letter in it?",riddle 2 1,riddle 3 1
* another,Ok. What's black and white and red all over?,riddle 2 1,riddle 1 1
* another one|riddle,"Ok. What starts with an E, ends with an E, and has one letter in it?",riddle 2 1,riddle 3 1
* another one|riddle,Ok. What's black and white and red all over?,riddle 2 1,riddle 1 1
Tell me a riddle,"What starts with an E, ends with an E, and has one letter in it?",,riddle 3 1
* envelope *,Perfect! Great job!,riddle 3 1,
* envelope *,Excellent! You must've heard that one before.,riddle 3 1,
* hint *,"It's not the word ""eye"". That's too easy",riddle 3 1,riddle 3 1
* hint *,This is a thing that you might find in the post office.,riddle 3 1,riddle 3 1
* answer *,"It's an Envelope! See, it (usually) only contains one letter!",riddle 3 1,
* tell me *,"It's an Envelope! See, it (usually) only contains one letter!",riddle 3 1,
* don't know *,"It's an Envelope! See, it (usually) only contains one letter!",riddle 3 1,
* another,Ok. What's black and white and red all over?,riddle 3 1,riddle 1 1
* another,Ok. Sure. Here you go. What... is the air-speed velocity of an unladen swallow?,riddle 3 1,riddle 2 1
* another one|riddle,Ok. What's black and white and red all over?,riddle 3 1,riddle 1 1
* another one|riddle,Ok. Sure. Here you go. What... is the air-speed velocity of an unladen swallow?,riddle 3 1,riddle 2 1
reset first boot experience,<set_first_boot>,*,Tutorial Start
*,"Welcome Explorer! I'm Chloe, your Aira assistant. The screen on the phone you're holding is disabled to create a voice first experience. To talk to me, you can hold down on the call button located below the screen, and say things like, ""how do I use Horizon?"" or ""what can you do?"" 
 Would you like me to repeat that or continue?",Tutorial Start,Tutorial Setup
,"Welcome Explorer! I'm Chloe, your Aira assistant. The screen on the phone you're holding is disabled to create a voice first experience. To talk to me, you can hold down on the call button located below the screen, and say things like, ""how do I use Horizon?"" or ""what can you do?"" 
 Would you like me to repeat that or continue?",Tutorial Start,Tutorial Setup
* continue|next *,"To call an agent, make sure that you've used the braided USB cord to connect the Horizon glasses to the Horizon phone. Then, you can either double press on the call button to call an agent, or hold down on the call button and say, ""call an agent."" Would you like me to repeat that or continue to my last tip?",Tutorial Setup,Tutorial Last Tip
*,"Sorry, I didn't get that. Would you like me to repeat that or continue?",Tutorial Setup,Tutorial Setup
* repeat *,"Sure. The screen on the phone you're holding is disabled to create a voice first experience. To talk to me, you can hold down on the call button located below the screen, and say things like, ""how do I use Horizon?"" or ""what can you do?"" Would you like me to repeat that or continue?",Tutorial Setup,Tutorial Setup
* again *,"Sure. The screen on the phone you're holding is disabled to create a voice first experience. To talk to me, you can hold down on the call button located below the screen, and say things like, ""how do I use Horizon?"" or ""what can you do?"" Would you like me to repeat that or continue?",Tutorial Setup,Tutorial Setup
* one more time *,"Sure. The screen on the phone you're holding is disabled to create a voice first experience. To talk to me, you can hold down on the call button located below the screen, and say things like, ""how do I use Horizon?"" or ""what can you do?"" Would you like me to repeat that or continue?",Tutorial Setup,Tutorial Setup
* continue|next *,"For more details about Horizon, please read the Quick Start Guide in your welcome email, it includes tips such as turning on privacy mode during a call by pressing on the call button once. Would you like me to repeat that?",Tutorial Last Tip,Tutorial Done
*,"Sorry, I didn't get that. Would you like me to repeat that or continue to my last tip?",Tutorial Last Tip,Tutorial Last Tip
* repeat *,"Sure. To call an agent, make sure that you've used the braided USB cord to connect the Horizon glasses to the Horizon phone. Then, you can either double press on the call button to call an agent, or hold down on the call button and say, ""call an agent."" Would you like me to repeat that or continue to my last tip?",Tutorial Last Tip,Tutorial Last Tip
* again *,"Sure. To call an agent, make sure that you've used the braided USB cord to connect the Horizon glasses to the Horizon phone. Then, you can either double press on the call button to call an agent, or hold down on the call button and say, ""call an agent."" Would you like me to repeat that or continue to my last tip?",Tutorial Last Tip,Tutorial Last Tip
* one more time *,"Sure. To call an agent, make sure that you've used the braided USB cord to connect the Horizon glasses to the Horizon phone. Then, you can either double press on the call button to call an agent, or hold down on the call button and say, ""call an agent."" Would you like me to repeat that or continue to my last tip?",Tutorial Last Tip,Tutorial Last Tip
* no|skip|nah|nope|naw|dont *,Wonderful! Thank you for taking the time to talk to me today and I can't wait to see what's on the horizon for you.,Tutorial Done,
* no thanks|thank *,Wonderful! Thank you for taking the time to talk to me today and I can't wait to see what's on the horizon for you.,Tutorial Done,
Im good,Wonderful! Thank you for taking the time to talk to me today and I can't wait to see what's on the horizon for you.,Tutorial Done,
* continue|next *,Wonderful! Thank you for taking the time to talk to me today and I can't wait to see what's on the horizon for you.,Tutorial Done,
*,"Sorry, I wish I could understand that. It was probably something really nice.",Tutorial Done,
Thanks,You got it,Tutorial Done,
Thank you,It was my pleasure,Tutorial Done,
yes|yup|yep|yea|yeah|mhm|sure|okay|kay|k,"Sure. For more details about Horizon, please read the Quick Start Guide in your welcome email, it includes tips such as turning on privacy mode during a call by pressing on the call button once. Would you like me to repeat that?",Tutorial Done,Tutorial Done
* repeat *,"Sure. For more details about Horizon, please read the Quick Start Guide in your welcome email, it includes tips such as turning on privacy mode during a call by pressing on the call button once. Would you like me to repeat that?",Tutorial Done,Tutorial Done
* again *,"Sure. For more details about Horizon, please read the Quick Start Guide in your welcome email, it includes tips such as turning on privacy mode during a call by pressing on the call button once. Would you like me to repeat that?",Tutorial Done,Tutorial Done
* one more time *,"Sure. For more details about Horizon, please read the Quick Start Guide in your welcome email, it includes tips such as turning on privacy mode during a call by pressing on the call button once. Would you like me to repeat that?",Tutorial Done,Tutorial Done
cancel|stop|done|exit|leave|goodbye|bye|enough,OK. You can always hold down on the call button and ask me how to use the Horizon phone.,Tutorial *,
what's new,Chloe now supports enabling or disabling Wi-Fi on the fly.,,
what is new,Chloe now supports enabling or disabling Wi-Fi on the fly.,,
what's new in this release|update,Chloe now supports enabling or disabling Wi-Fi on the fly.,,
what is new in this release|update,Chloe now supports enabling or disabling Wi-Fi on the fly.,,
read ? ? release notes,Chloe now supports enabling or disabling Wi-Fi on the fly.,,
read ? ? release notes ? 27,"version 27 adds 1 feature and 4 bug fixes. Feature 1, MQTT remote agent call initiation. Bug fix 1, remove deprecated calls of `onSpeechError`. Bug fix 2 Gradle build script cleanup and library version correction. Bug fix 3, Open source Android Speech library compiled to AAR and removed from source tree. Bug fix 4, build documentation and notes added.",,
read ? ? release notes ? 34,version 34 adds Network connectivity bug fixes and templating language for Chloe utterance building.,,
read ? ? release notes ? 35,"You can now ask Chloe to record a note, but she isn't yet able to search or list those notes. Also, bluetooth connection dialog and agent dashboard connectivity is now more robust.",,
read ? ? release notes ? 36,More robust connection to the agent,,
read ? ? release notes ? 37,"on version 37 I can now share your signal strength status. You can say, How is my connectivity? or What network am I connected to? Additionally, Aira has made Horizon connectivity improvements in this release, and will continue to make progress on the bluetooth and document reading features. Thank you for tuning in today!",,
read ? ? release notes ? 38,Speaker mode and bluetooth improvements.,,
read ? ? release notes ? 39,"Improved robustness of the app, automatic restarting on unexpected errors.",,
read ? ? release notes ? 40,"Added Samsung KNOX support, text recognition with the phone's camera. Chloe now supports proximity-based reading.",,
read ? ? release notes ? 41,Chloe now supports enabling or disabling Wi-Fi on the fly.,,
*,"Sorry, I don't know that. You can ask me what I can do any time.",,
*,"Sorry, I haven't learned that yet. Thanks for being patient with me.",,
*,"Sorry, I don't know that.",,
*,"Sorry, I didn't get that.",,
,"Sorry, I didn't hear you.",,
,"Sorry, I didn't hear you. You can ask me what I can do any time.",,
Are you there?,"Yes, I'm here for you.",,
Are you there?,"Yes, I'm ready to help.",,
hi|hello|hey|howdy|yo|sup,Hello! It's good to hear from you.,,
hi|hello|hey|howdy|yo|sup,Hi! I'm listening.,,
hi|hello|hey|howdy|yo|sup,"Hi, how can I help you?",,
hi|hello|hey|howdy|yo|sup *,Hello! It's good to hear from you.,,
hi|hello|hey|howdy|yo|sup *,Hi! I'm listening.,,
hi|hello|hey|howdy|yo|sup *,"Hi, how can I help you?",,
help,"You can ask me to call an agent, or dial customer support at 858 876 2472",,
"Testing 1, 2, 3","4,5,6",,
"Testing 1, 2, 3",Ok. What now?,,
* nevermind,OK,,
battery level,"Battery {{#with battery}}{{numberFormat level ""integer""}} percent. {{#if charging}} Charging on {{chargeType}} {{/if}}{{/with}}",,
what|how is my|the|this battery ?,"Battery {{#with battery}}{{numberFormat level ""integer""}} percent. {{#if charging}} Charging on {{chargeType}} {{/if}}{{/with}}",,
what's my|the|this battery ?,"Battery {{#with battery}}{{numberFormat level ""integer""}} percent. {{#if charging}} Charging on {{chargeType}} {{/if}}{{/with}}",,
how's my|the|this battery ?,"Battery {{#with battery}}{{numberFormat level ""integer""}} percent. {{#if charging}} Charging on {{chargeType}} {{/if}}{{/with}}",,
how much battery do I have ?,"Battery {{#with battery}}{{numberFormat level ""integer""}} percent. {{#if charging}} Charging on {{chargeType}} {{/if}}{{/with}}",,
how much battery ? ?,"Battery {{#with battery}}{{numberFormat level ""integer""}} percent. {{#if charging}} Charging on {{chargeType}} {{/if}}{{/with}}",,
check my|the|this battery ? ,"Battery {{#with battery}}{{numberFormat level ""integer""}} percent. {{#if charging}} Charging on {{chargeType}} {{/if}}{{/with}}",,
connect|find|look ? ? device|devices|headset|headsets|earphone|earphones|earbud|earbuds,<find_bluetooth_devices>,,Bluetooth connecting headset
connect|find|look ? ? bluetooth|wireless device|devices|headset|headsets|earphone|earphones|earbud|earbuds,<find_bluetooth_devices>,,Bluetooth connecting headset
connect|find|look ? ? headset|headsets|earphone|earphones|earbud|earbuds|device|devices,<find_bluetooth_devices>,Bluetooth connecting ?,Bluetooth connecting headset
connect|find|look ? ? bluetooth|wireless headset|headsets|earphone|earphones|earbud|earbuds|device|devices,<find_bluetooth_devices>,Bluetooth connecting ?,Bluetooth connecting headset
connect|find|look ? ? headset|headsets|earphone|earphones|earbud|earbuds|device|devices,<find_bluetooth_devices>,Bluetooth ?,Bluetooth connecting headset
connect|find|look ? ? bluetooth|wireless headset|headsets|earphone|earphones|earbud|earbuds|device|devices,<find_bluetooth_devices>,Bluetooth ?,Bluetooth connecting headset
connect|find|look ? ? speaker|speakers|tv|tvs,<find_bluetooth_speakers>,,Bluetooth connecting speaker
connect|find|look ? ? wireless|bluetooth ? speaker|speakers|tv|tvs,<find_bluetooth_speakers>,,Bluetooth connecting speaker
connect|find|look ? ? speaker|speakers|tv|tvs,<find_bluetooth_speakers>,Bluetooth connecting ?,Bluetooth connecting speaker
connect|find|look ? ? wireless|bluetooth ? speaker|speakers|tv|tvs,<find_bluetooth_speakers>,Bluetooth connecting ?,Bluetooth connecting speaker
connect|find|look ? ? speaker|speakers|tv|tvs,<find_bluetooth_speakers>,Bluetooth ?,Bluetooth connecting speaker
connect|find|look ? ? wireless|bluetooth ? speaker|speakers|tv|tvs,<find_bluetooth_speakers>,Bluetooth ?,Bluetooth connecting speaker
connect|find|look ? ? pair|paired|current ? bluetooth|device|devices|headphone|headphones|headset|headsets|earbud|earbuds|earphone|earphones,<find_paired_devices>,,Bluetooth connecting paired
what bluetooth|device|devices|headphone|headphones|headset|headsets|earbud|earbuds|earphone|earphones ? pair|paired|connected,<paired_bluetooth_status>,,
connect|find|look ? ? pair|paired|current bluetooth|device|devices|headphone|headphones|headset|headsets|earbud|earbuds|earphone|earphones,<find_paired_devices>,Bluetooth *,Bluetooth connecting paired
connect|find|look ? ? pair|paired|current bluetooth|wireless bluetooth|device|devices|headphone|headphones|headset|headsets|earbud|earbuds|earphone|earphones,<find_paired_devices>,Bluetooth *,Bluetooth connecting paired
what ? ? bluetooth|device|devices|headphone|headphones|headset|headsets|earbud|earbuds|earphone|earphones ? pair|paired|connected,<paired_bluetooth_status>,Bluetooth *,
disconnect ? ? ? device|devices|speaker|speakers|tv|tvs|bluetooth|headset|earphone|earphones|headphone|headphones|earbud|earbuds ? ?,<disconnect_bluetooth_device>,,Bluetooth disconnect
disconnect ? ? ? device|devices|speaker|speakers|tv|tvs|bluetooth|headset|earphone|earphones|headphone|headphones|earbud|earbuds ? ?,<disconnect_bluetooth_device>,Bluetooth *,Bluetooth disconnect
? ? turn on ? bluetooth,<bluetooth_on>,,
? ? turn off ? bluetooth,<bluetooth_off>,,
? ? turn on ? bluetooth,<bluetooth_on>,Bluetooth *,
? ? turn off ? bluetooth,<bluetooth_off>,Bluetooth *,
? ? turn ? bluetooth on,<bluetooth_on>,,
? ? turn ? bluetooth off,<bluetooth_off>,,
? ? turn ? bluetooth on,<bluetooth_on>,Bluetooth *,
? ? turn ? bluetooth off,<bluetooth_off>,Bluetooth *,
? ? enable ? bluetooth,<bluetooth_on>,,
? ? disable ? bluetooth,<bluetooth_off>,,
? ? enable ? bluetooth,<bluetooth_on>,Bluetooth *,
? ? disable ? bluetooth,<bluetooth_off>,Bluetooth *,
? ? bluetooth ? ? status,<bluetooth_status>,,
? ? bluetooth ? ? status,<bluetooth_status>,Bluetooth *,
? ? is ? bluetooth on|off|enabled|disabled ?,<bluetooth_status>,,
? ? is ? bluetooth on|off|enabled|disabled ?,<bluetooth_status>,Bluetooth *,
* no *,Ok. You can always connect to a device later,Bluetooth connecting speaker,
* one|first|1|yes *,<connect_bluetooth_speaker_1>,Bluetooth connecting speaker,
* two|second|2 *,<connect_bluetooth_speaker_2>,Bluetooth connecting speaker,
* three|third|3 *,<connect_bluetooth_speaker_3>,Bluetooth connecting speaker,
* four|fourth|4 *,<connect_bluetooth_speaker_4>,Bluetooth connecting speaker,
* five|fifth|5 *,<connect_bluetooth_speaker_5>,Bluetooth connecting speaker,
* six|sixth|6 *,<connect_bluetooth_speaker_6>,Bluetooth connecting speaker,
* seven|seventh|7 *,<connect_bluetooth_speaker_7>,Bluetooth connecting speaker,
* eight|eight|8 *,<connect_bluetooth_speaker_8>,Bluetooth connecting speaker,
* nine|ninth|9 *,<connect_bluetooth_speaker_9>,Bluetooth connecting speaker,
* ten|tenth|10 *,<connect_bluetooth_speaker_10>,Bluetooth connecting speaker,
* eleven|eleventh|11 *,<connect_bluetooth_speaker_11>,Bluetooth connecting speaker,
* twelve|twelfth|12 *,<connect_bluetooth_speaker_12>,Bluetooth connecting speaker,
* thirteen|thirteenth|13 *,<connect_bluetooth_speaker_13>,Bluetooth connecting speaker,
* fourteen|fourteenth|14 *,<connect_bluetooth_speaker_14>,Bluetooth connecting speaker,
* fifteen|fifteenth|15 *,<connect_bluetooth_speaker_15>,Bluetooth connecting speaker,
* sixteen|sixteenth|16 *,<connect_bluetooth_speaker_16>,Bluetooth connecting speaker,
* seventeen|seventeenth|17 *,<connect_bluetooth_speaker_17>,Bluetooth connecting speaker,
* eighteen|eighteenth|18 *,<connect_bluetooth_speaker_18>,Bluetooth connecting speaker,
